size,array_type,algorithm,repeats,time_ms
6400,almost_sorted,quick,3,0.5889
6400,almost_sorted,introsort,3,0.2504
6500,random,quick,3,1.03213
6500,random,introsort,3,0.757033
6500,reversed,quick,3,0.507033
6500,reversed,introsort,3,0.269667
6500,almost_sorted,quick,3,0.4787
6500,almost_sorted,introsort,3,0.249867
6600,random,quick,3,1.02283
6600,random,introsort,3,0.764767
6600,reversed,quick,3,0.502433
6600,reversed,introsort,3,0.2854
6600,almost_sorted,quick,3,0.495567
6600,almost_sorted,introsort,3,0.2518
6700,random,quick,3,1.03003
6700,random,introsort,3,0.776767
6700,reversed,quick,3,0.507767
6700,reversed,introsort,3,0.259367
6700,almost_sorted,quick,3,0.4955
6700,almost_sorted,introsort,3,0.2702
6800,random,quick,3,1.0709
6800,random,introsort,3,0.7801
6800,reversed,quick,3,0.5022
6800,reversed,introsort,3,0.253567
6800,almost_sorted,quick,3,0.5102
6800,almost_sorted,introsort,3,0.254733
6900,random,quick,3,1.07517
6900,random,introsort,3,0.803367
6900,reversed,quick,3,0.534733
6900,reversed,introsort,3,0.2567
6900,almost_sorted,quick,3,0.494967
6900,almost_sorted,introsort,3,0.280667
7000,random,quick,3,1.12437
7000,random,introsort,3,0.7732
7000,reversed,quick,3,0.540767
7000,reversed,introsort,3,0.262267
7000,almost_sorted,quick,3,0.567867
7000,almost_sorted,introsort,3,0.2739
7100,random,quick,3,1.18163
7100,random,introsort,3,0.8266
7100,reversed,quick,3,0.529633
7100,reversed,introsort,3,0.283667
7100,almost_sorted,quick,3,0.518033
7100,almost_sorted,introsort,3,0.2671
7200,random,quick,3,1.1257
7200,random,introsort,3,0.822433
7200,reversed,quick,3,0.559867
7200,reversed,introsort,3,0.267267
7200,almost_sorted,quick,3,0.537733
7200,almost_sorted,introsort,3,0.2896
7300,random,quick,3,1.42363
7300,random,introsort,3,1.3478
7300,reversed,quick,3,0.893567
7300,reversed,introsort,3,0.442767
7300,almost_sorted,quick,3,0.9803
